Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Nigeria,,Niamey,5,22,1997,100
Africa,Guinea-Bissau,,Bissau,4,16,1998,100.1
Africa,Nigeria,,Niamey,4,24,1998,101.4
Africa,Nigeria,,Niamey,4,18,1998,102.8
Africa,Tunisia,,Tunis,1,31,1999,36.6
Africa,Tunisia,,Tunis,2,1,1999,37.7
Africa,Algeria,,Algiers,2,1,1999,37.8
Africa,Tunisia,,Tunis,1,14,1995,40.4
Africa,Namibia,,Windhoek,7,7,1996,41.1
Africa,Algeria,,Algiers,2,3,1999,41.6
Africa,Algeria,,Algiers,2,2,1999,41.8
Africa,Tunisia,,Tunis,2,11,1999,41.8
Africa,Tunisia,,Tunis,2,2,1999,41.9
Africa,Namibia,,Windhoek,7,6,1996,42.2
Africa,Algeria,,Algiers,2,22,1996,42.3
Africa,Algeria,,Algiers,12,17,1999,42.3
Africa,Algeria,,Algiers,11,24,1997,42.4
Africa,Tunisia,,Tunis,2,13,1999,42.5
Africa,Algeria,,Algiers,12,31,1999,42.7
Africa,Tunisia,,Tunis,2,22,1996,42.7
Africa,Tunisia,,Tunis,2,12,1999,42.9
Africa,Tunisia,,Tunis,1,5,1995,43.2
Africa,Namibia,,Windhoek,5,25,1997,43.3
Africa,Tunisia,,Tunis,12,27,1996,43.3
Africa,Algeria,,Algiers,11,22,1999,43.7
Africa,Algeria,,Algiers,12,28,1996,43.9
Africa,Namibia,,Windhoek,6,30,1997,44.3
Africa,Tunisia,,Tunis,1,30,1999,44.4
Africa,Algeria,,Algiers,1,17,1995,44.5
Africa,Tunisia,,Tunis,1,4,1995,44.6
Africa,Algeria,,Algiers,2,13,1999,44.8
Africa,Algeria,,Algiers,1,31,1999,45
Africa,Algeria,,Algiers,2,14,1999,45.1
Africa,Morocco,,Rabat,12,17,1999,45.1
Africa,Algeria,,Algiers,2,12,1999,45.2
Africa,Tunisia,,Tunis,1,17,1995,45.3
Africa,South Africa,,Capetown,7,16,1996,45.4
Africa,Tunisia,,Tunis,1,15,1995,45.4
Africa,Algeria,,Algiers,2,15,1999,45.5
Africa,Tunisia,,Tunis,2,14,1999,45.5
Africa,South Africa,,Capetown,7,22,1995,45.6
Africa,Tunisia,,Tunis,12,28,1996,45.7
Africa,Tunisia,,Tunis,2,3,1999,45.7
Africa,Algeria,,Algiers,1,16,1995,45.9
Africa,Algeria,,Algiers,2,23,1996,45.9
Africa,Algeria,,Algiers,2,24,1996,45.9
Africa,Algeria,,Algiers,2,4,1999,45.9
Africa,Morocco,,Rabat,2,21,1996,45.9
Africa,Morocco,,Rabat,12,18,1999,45.9
Africa,Namibia,,Windhoek,7,17,1996,45.9
Africa,Tunisia,,Tunis,1,3,1995,45.9
Africa,Namibia,,Windhoek,8,5,1995,46
Africa,Tunisia,,Tunis,2,15,1999,46
Africa,Algeria,,Algiers,1,22,1998,46.1
Africa,Algeria,,Algiers,12,16,1999,46.1
Africa,Tunisia,,Tunis,1,13,1995,46.1
Africa,Algeria,,Algiers,1,23,1998,46.2
Africa,Namibia,,Windhoek,5,29,1997,46.2
Africa,Tunisia,,Tunis,1,18,1995,46.2
Africa,Algeria,,Algiers,12,15,1997,46.3
Africa,Algeria,,Algiers,2,16,1999,46.3
Africa,Algeria,,Algiers,11,24,1999,46.3
Africa,South Africa,,Capetown,7,7,1996,46.3
Africa,Tunisia,,Tunis,1,6,1995,46.3
Africa,Algeria,,Algiers,1,4,1995,46.4
Africa,Tunisia,,Tunis,1,16,1995,46.4
Africa,South Africa,,Capetown,7,18,1995,46.5
Africa,South Africa,,Capetown,6,19,1997,46.5
Africa,Tunisia,,Tunis,11,22,1998,46.5
Africa,Algeria,,Algiers,3,31,1995,46.6
Africa,South Africa,,Capetown,7,22,1998,46.6
Africa,Algeria,,Algiers,12,23,1999,46.7
Africa,Morocco,,Rabat,1,9,1995,46.8
Africa,Morocco,,Rabat,1,20,1999,46.8
Africa,Namibia,,Windhoek,5,26,1997,46.8
Africa,Namibia,,Windhoek,6,29,1997,46.8
Africa,South Africa,,Capetown,6,29,1997,46.8
Africa,South Africa,,Capetown,7,6,1997,46.8
Africa,Algeria,,Algiers,1,14,1995,46.9
Africa,Algeria,,Algiers,1,18,1998,46.9
Africa,Algeria,,Algiers,2,17,1999,46.9
Africa,Algeria,,Algiers,11,25,1999,46.9
Africa,South Africa,,Capetown,7,15,1996,46.9
Africa,South Africa,,Capetown,7,17,1996,46.9
Africa,Algeria,,Algiers,1,13,1995,47
Africa,Algeria,,Algiers,2,21,1996,47
Africa,Algeria,,Algiers,12,17,1998,47
Africa,South Africa,,Capetown,7,13,1995,47
Africa,Tunisia,,Tunis,2,23,1996,47
Africa,Algeria,,Algiers,12,22,1998,47.1
Africa,Morocco,,Rabat,12,7,1996,47.1
Africa,Namibia,,Windhoek,8,4,1996,47.1
Africa,South Africa,,Capetown,7,23,1995,47.1
Africa,Tunisia,,Tunis,12,24,1999,47.1
Africa,South Africa,,Capetown,7,24,1999,47.2
Africa,Algeria,,Algiers,2,5,1999,47.3
Africa,Morocco,,Rabat,1,8,1995,47.3
Africa,South Africa,,Capetown,7,26,1997,47.3
Africa,Algeria,,Algiers,4,1,1995,47.4
Africa,Morocco,,Rabat,2,23,1996,47.4
Africa,Morocco,,Rabat,1,19,1999,47.4
Africa,South Africa,,Capetown,6,30,1997,47.4
Africa,Algeria,,Algiers,1,15,1995,47.5
Africa,Algeria,,Algiers,11,23,1999,47.5
Africa,Morocco,,Rabat,2,2,1999,47.5
Africa,Namibia,,Windhoek,5,24,1997,47.5
Africa,South Africa,,Capetown,7,5,1996,47.5
Africa,South Africa,,Capetown,7,18,1996,47.5
Africa,Tunisia,,Tunis,2,16,1999,47.5
Africa,South Africa,,Capetown,8,23,1995,47.6
Africa,South Africa,,Capetown,7,30,1998,47.6
Africa,South Africa,,Capetown,8,11,1996,47.7
Africa,Tunisia,,Tunis,11,21,1998,47.7
Africa,Algeria,,Algiers,12,22,1999,47.8
Africa,South Africa,,Capetown,7,19,1996,47.8
Africa,Tunisia,,Tunis,2,4,1999,47.8
Africa,Zambia,,Lusaka,7,27,1996,47.8
Africa,Algeria,,Algiers,1,5,1995,47.9
Africa,Namibia,,Windhoek,8,5,1996,47.9
Africa,Tunisia,,Tunis,2,21,1996,47.9
Africa,Tunisia,,Tunis,3,5,1996,47.9
Africa,Tunisia,,Tunis,3,6,1996,47.9
Africa,Tunisia,,Tunis,12,25,1999,47.9
Africa,Algeria,,Algiers,11,21,1999,48
Africa,South Africa,,Capetown,7,8,1996,48
Africa,Algeria,,Algiers,12,8,1996,48.1
Africa,Algeria,,Algiers,11,26,1999,48.1
Africa,Namibia,,Windhoek,7,8,1996,48.1
Africa,Namibia,,Windhoek,8,23,1998,48.1
Africa,Namibia,,Windhoek,8,23,1999,48.1
Africa,Tunisia,,Tunis,11,23,1998,48.1
Africa,Tunisia,,Tunis,12,29,1998,48.1
Africa,Algeria,,Algiers,1,12,1997,48.2
Africa,Algeria,,Algiers,12,9,1998,48.2
Africa,Namibia,,Windhoek,5,28,1997,48.2
Africa,Tunisia,,Tunis,12,22,1999,48.2
Africa,Algeria,,Algiers,2,27,1995,48.3
Africa,Algeria,,Algiers,12,23,1998,48.3
Africa,Algeria,,Algiers,2,11,1999,48.3
Africa,Morocco,,Rabat,2,12,1999,48.3
Africa,Algeria,,Algiers,2,16,1996,48.4
Africa,Algeria,,Algiers,12,24,1999,48.4
Africa,Morocco,,Rabat,1,23,1999,48.4
Africa,Namibia,,Windhoek,7,18,1996,48.4
Africa,South Africa,,Capetown,7,29,1996,48.4
Africa,Algeria,,Algiers,2,18,1996,48.5
Africa,Algeria,,Algiers,2,20,1996,48.5
Africa,Namibia,,Windhoek,8,24,1999,48.5
Africa,South Africa,,Capetown,7,17,1995,48.5
Africa,South Africa,,Capetown,6,28,1998,48.5
Africa,Algeria,,Algiers,3,1,1996,48.6
Africa,Algeria,,Algiers,1,7,1997,48.6
Africa,Algeria,,Algiers,1,30,1999,48.6
Africa,South Africa,,Capetown,6,18,1997,48.6
Africa,Tunisia,,Tunis,1,22,1998,48.6
Africa,Tunisia,,Tunis,12,31,1999,48.6
Africa,Algeria,,Algiers,1,6,1995,48.7
Africa,Algeria,,Algiers,12,8,1999,48.7
Africa,Morocco,,Rabat,1,3,1995,48.7
Africa,Namibia,,Windhoek,7,25,1996,48.7
Africa,Namibia,,Windhoek,5,30,1997,48.7
Africa,South Africa,,Capetown,9,9,1999,48.7
Africa,Tunisia,,Tunis,2,17,1999,48.7
Africa,Algeria,,Algiers,1,3,1995,48.8
Africa,Algeria,,Algiers,2,5,1995,48.8
Africa,Algeria,,Algiers,2,24,1998,48.8
Africa,Morocco,,Rabat,12,8,1996,48.8
