Region,Country,State,City,Month,Day,Year,AvgTemperature
Australia/South Pacific,Australia,,Canberra,7,15,2018,32.6
Australia/South Pacific,Australia,,Canberra,7,22,2018,32.6
Australia/South Pacific,Australia,,Canberra,7,2,2015,33.4
Australia/South Pacific,Australia,,Canberra,7,1,2017,33.7
Australia/South Pacific,Australia,,Canberra,6,1,2015,33.8
Australia/South Pacific,Australia,,Canberra,7,2,2017,34
Australia/South Pacific,Australia,,Canberra,6,25,2016,34.5
Australia/South Pacific,Australia,,Canberra,7,16,2017,34.6
Australia/South Pacific,Australia,,Canberra,7,4,2015,34.7
Australia/South Pacific,Australia,,Canberra,6,23,2018,34.8
Australia/South Pacific,Australia,,Canberra,7,3,2015,35
Australia/South Pacific,Australia,,Canberra,7,21,2017,35.2
Australia/South Pacific,Australia,,Canberra,6,30,2017,35.4
Australia/South Pacific,Australia,,Canberra,6,3,2015,35.6
Australia/South Pacific,Australia,,Canberra,7,10,2017,35.6
Australia/South Pacific,Australia,,Canberra,6,24,2018,35.6
Australia/South Pacific,Australia,,Canberra,6,27,2016,35.8
Australia/South Pacific,Australia,,Canberra,7,18,2015,35.9
Australia/South Pacific,Australia,,Canberra,6,21,2018,36.1
Australia/South Pacific,Australia,,Canberra,7,10,2018,36.1
Australia/South Pacific,Australia,,Canberra,7,13,2018,36.1
Australia/South Pacific,Australia,,Canberra,8,19,2018,36.1
Australia/South Pacific,Australia,,Canberra,6,20,2019,36.1
Australia/South Pacific,Australia,,Canberra,6,21,2015,36.3
Australia/South Pacific,Australia,,Canberra,7,5,2015,36.3
Australia/South Pacific,Australia,,Canberra,6,12,2016,36.3
Australia/South Pacific,Australia,,Canberra,7,12,2017,36.3
Australia/South Pacific,Australia,,Canberra,7,14,2018,36.3
Australia/South Pacific,Australia,,Canberra,7,6,2015,36.4
Australia/South Pacific,Australia,,Canberra,6,29,2016,36.4
Australia/South Pacific,Australia,,Canberra,6,22,2018,36.5
Australia/South Pacific,Australia,,Canberra,6,30,2015,36.6
Australia/South Pacific,Australia,,Canberra,6,25,2018,36.6
Australia/South Pacific,Australia,,Canberra,7,21,2018,36.6
Australia/South Pacific,Australia,,Canberra,6,28,2016,36.7
Australia/South Pacific,Australia,,Canberra,6,2,2015,37
Australia/South Pacific,Australia,,Canberra,7,16,2018,37
Australia/South Pacific,Australia,,Canberra,6,6,2015,37.2
Australia/South Pacific,Australia,,Canberra,7,12,2018,37.2
Australia/South Pacific,Australia,,Canberra,7,1,2015,37.3
Australia/South Pacific,Australia,,Canberra,7,15,2017,37.4
Australia/South Pacific,Australia,,Canberra,7,11,2018,37.4
Australia/South Pacific,Australia,,Canberra,6,19,2019,37.4
Australia/South Pacific,Australia,,Canberra,8,14,2019,37.4
Australia/South Pacific,Australia,,Canberra,8,3,2015,37.5
Australia/South Pacific,Australia,,Canberra,7,7,2017,37.5
Australia/South Pacific,Australia,,Canberra,7,19,2015,37.6
Australia/South Pacific,Australia,,Canberra,6,15,2016,37.6
Australia/South Pacific,Australia,,Canberra,8,7,2015,37.8
Australia/South Pacific,Australia,,Canberra,8,13,2019,37.8
Australia/South Pacific,Australia,,Canberra,8,29,2017,37.9
Australia/South Pacific,Australia,,Canberra,7,20,2019,37.9
Australia/South Pacific,Australia,,Canberra,7,20,2015,38
Australia/South Pacific,Australia,,Canberra,6,15,2017,38
Australia/South Pacific,Australia,,Canberra,9,24,2018,38
Australia/South Pacific,Australia,,Canberra,6,5,2019,38
Australia/South Pacific,Australia,,Canberra,6,22,2019,38
Australia/South Pacific,Australia,,Canberra,5,28,2016,38.1
Australia/South Pacific,Australia,,Canberra,6,26,2016,38.1
Australia/South Pacific,Australia,,Canberra,8,27,2017,38.1
Australia/South Pacific,Australia,,Canberra,8,29,2018,38.1
Australia/South Pacific,Australia,,Canberra,7,1,2016,38.2
Australia/South Pacific,Australia,,Canberra,6,20,2017,38.2
Australia/South Pacific,Australia,,Canberra,5,23,2015,38.3
Australia/South Pacific,Australia,,Canberra,6,28,2017,38.3
Australia/South Pacific,Australia,,Canberra,6,30,2019,38.3
Australia/South Pacific,Australia,,Canberra,7,1,2019,38.3
Australia/South Pacific,Australia,,Canberra,5,25,2015,38.4
Australia/South Pacific,Australia,,Canberra,7,2,2016,38.4
Australia/South Pacific,Australia,,Canberra,6,4,2017,38.4
Australia/South Pacific,Australia,,Canberra,5,13,2015,38.5
Australia/South Pacific,Australia,,Canberra,6,5,2015,38.5
Australia/South Pacific,Australia,,Canberra,6,11,2015,38.5
Australia/South Pacific,Australia,,Canberra,8,18,2015,38.5
Australia/South Pacific,Australia,,Canberra,6,24,2016,38.5
Australia/South Pacific,Australia,,Canberra,8,9,2019,38.5
Australia/South Pacific,Australia,,Canberra,8,12,2015,38.6
Australia/South Pacific,Australia,,Canberra,7,4,2016,38.6
Australia/South Pacific,Australia,,Canberra,7,15,2016,38.6
Australia/South Pacific,Australia,,Canberra,6,1,2017,38.6
Australia/South Pacific,Australia,,Canberra,6,2,2017,38.6
Australia/South Pacific,Australia,,Canberra,7,20,2017,38.6
Australia/South Pacific,Australia,,Canberra,7,1,2018,38.6
Australia/South Pacific,Australia,,Canberra,6,21,2019,38.6
Australia/South Pacific,Australia,,Canberra,7,27,2015,38.7
Australia/South Pacific,Australia,,Canberra,7,13,2016,38.7
Australia/South Pacific,Australia,,Canberra,8,2,2018,38.7
Australia/South Pacific,Australia,,Canberra,5,30,2019,38.7
Australia/South Pacific,Australia,,Canberra,6,20,2015,38.8
Australia/South Pacific,Australia,,Canberra,7,2,2018,38.8
Australia/South Pacific,Australia,,Canberra,7,3,2018,38.8
Australia/South Pacific,Australia,,Canberra,8,6,2019,38.8
Australia/South Pacific,Australia,,Canberra,5,10,2020,38.8
Australia/South Pacific,Australia,,Canberra,8,4,2015,39
Australia/South Pacific,Australia,,Canberra,8,6,2015,39
Australia/South Pacific,Australia,,Canberra,5,26,2018,39
Australia/South Pacific,Australia,,Canberra,8,28,2018,39.1
Australia/South Pacific,Australia,,Canberra,7,15,2015,39.2
Australia/South Pacific,Australia,,Canberra,7,13,2017,39.2
Australia/South Pacific,Australia,,Canberra,7,17,2015,39.3
Australia/South Pacific,Australia,,Canberra,6,13,2016,39.3
Australia/South Pacific,Australia,,Canberra,6,29,2017,39.3
Australia/South Pacific,Australia,,Canberra,7,2,2019,39.3
Australia/South Pacific,Australia,,Canberra,5,29,2016,39.4
Australia/South Pacific,Australia,,Canberra,5,31,2017,39.4
Australia/South Pacific,Australia,,Canberra,8,19,2017,39.4
Australia/South Pacific,Australia,,Canberra,8,23,2019,39.4
Australia/South Pacific,Australia,,Canberra,6,19,2015,39.5
Australia/South Pacific,Australia,,Canberra,8,8,2015,39.5
Australia/South Pacific,Australia,,Canberra,6,14,2017,39.5
Australia/South Pacific,Australia,,Canberra,7,6,2017,39.5
