Region,Country,State,City,Month,Day,Year,AvgTemperature
Australia/South Pacific,Australia,,Canberra,6,8,1996,33.1
Australia/South Pacific,Australia,,Canberra,7,12,1996,33.5
Australia/South Pacific,Australia,,Canberra,6,17,1998,33.5
Australia/South Pacific,Australia,,Canberra,7,11,1998,33.6
Australia/South Pacific,Australia,,Canberra,7,20,1997,33.7
Australia/South Pacific,Australia,,Canberra,6,23,1995,33.9
Australia/South Pacific,Australia,,Canberra,8,8,1996,33.9
Australia/South Pacific,Australia,,Canberra,8,2,1997,33.9
Australia/South Pacific,Australia,,Canberra,7,16,1996,34.2
Australia/South Pacific,Australia,,Canberra,7,10,1997,34.3
Australia/South Pacific,Australia,,Canberra,7,15,1996,34.4
Australia/South Pacific,Australia,,Canberra,8,1,1997,34.6
Australia/South Pacific,Australia,,Canberra,7,9,1995,34.7
Australia/South Pacific,Australia,,Canberra,7,17,1997,34.7
Australia/South Pacific,Australia,,Canberra,8,19,1996,34.9
Australia/South Pacific,Australia,,Canberra,7,18,1997,35
Australia/South Pacific,Australia,,Canberra,7,9,1996,35.2
Australia/South Pacific,Australia,,Canberra,7,19,1997,35.2
Australia/South Pacific,Australia,,Canberra,7,5,1995,35.3
Australia/South Pacific,Australia,,Canberra,6,18,1998,35.5
Australia/South Pacific,Australia,,Canberra,7,16,1998,35.5
Australia/South Pacific,Australia,,Canberra,7,13,1996,35.6
Australia/South Pacific,Australia,,Canberra,7,12,1998,35.6
Australia/South Pacific,Australia,,Canberra,8,23,1998,36
Australia/South Pacific,Australia,,Canberra,7,15,1998,36.2
Australia/South Pacific,Australia,,Canberra,6,1,1997,36.5
Australia/South Pacific,Australia,,Canberra,7,2,1998,36.5
Australia/South Pacific,Australia,,Canberra,7,4,1995,36.6
Australia/South Pacific,Australia,,Canberra,7,10,1996,36.6
Australia/South Pacific,Australia,,Canberra,7,12,1997,36.6
Australia/South Pacific,Australia,,Canberra,7,14,1996,36.8
Australia/South Pacific,Australia,,Canberra,7,29,1997,36.8
Australia/South Pacific,Australia,,Canberra,7,31,1998,36.8
Australia/South Pacific,Australia,,Canberra,7,20,1995,36.9
Australia/South Pacific,Australia,,Canberra,6,21,1995,37
Australia/South Pacific,Australia,,Canberra,7,19,1995,37
Australia/South Pacific,Australia,,Canberra,5,30,1996,37
Australia/South Pacific,Australia,,Canberra,7,22,1997,37
Australia/South Pacific,Australia,,Canberra,7,9,1998,37
Australia/South Pacific,Australia,,Canberra,10,27,1998,37
Australia/South Pacific,Australia,,Canberra,6,10,1997,37.1
Australia/South Pacific,Australia,,Canberra,6,11,1997,37.1
Australia/South Pacific,Australia,,Canberra,7,21,1997,37.1
Australia/South Pacific,Australia,,Canberra,6,22,1995,37.2
Australia/South Pacific,Australia,,Canberra,8,3,1997,37.2
Australia/South Pacific,Australia,,Canberra,6,8,1997,37.4
Australia/South Pacific,Australia,,Canberra,7,9,1997,37.4
Australia/South Pacific,Australia,,Canberra,7,23,1997,37.4
Australia/South Pacific,Australia,,Canberra,7,30,1998,37.4
Australia/South Pacific,Australia,,Canberra,7,5,1999,37.4
Australia/South Pacific,Australia,,Canberra,7,3,1996,37.5
Australia/South Pacific,Australia,,Canberra,7,8,1995,37.6
Australia/South Pacific,Australia,,Canberra,5,27,1996,37.6
Australia/South Pacific,Australia,,Canberra,6,9,1996,37.6
Australia/South Pacific,Australia,,Canberra,7,17,1996,37.6
Australia/South Pacific,Australia,,Canberra,7,29,1998,37.6
Australia/South Pacific,Australia,,Canberra,6,17,1995,37.7
Australia/South Pacific,Australia,,Canberra,6,3,1997,37.7
Australia/South Pacific,Australia,,Canberra,8,9,1997,37.8
Australia/South Pacific,Australia,,Canberra,6,15,1997,37.9
Australia/South Pacific,Australia,,Canberra,7,3,1997,37.9
Australia/South Pacific,Australia,,Canberra,10,7,1998,37.9
Australia/South Pacific,Australia,,Canberra,6,16,1999,37.9
Australia/South Pacific,Australia,,Canberra,8,7,1995,38
Australia/South Pacific,Australia,,Canberra,7,2,1997,38
Australia/South Pacific,Australia,,Canberra,8,8,1997,38
Australia/South Pacific,Australia,,Canberra,8,24,1997,38
Australia/South Pacific,Australia,,Canberra,7,1,1998,38.1
Australia/South Pacific,Australia,,Canberra,6,9,1997,38.2
Australia/South Pacific,Australia,,Canberra,7,31,1997,38.2
Australia/South Pacific,Australia,,Canberra,8,20,1996,38.3
Australia/South Pacific,Australia,,Canberra,6,19,1998,38.3
Australia/South Pacific,Australia,,Canberra,8,9,1995,38.4
Australia/South Pacific,Australia,,Canberra,6,14,1997,38.4
Australia/South Pacific,Australia,,Canberra,6,21,1997,38.4
Australia/South Pacific,Australia,,Canberra,6,26,1998,38.4
Australia/South Pacific,Australia,,Canberra,5,31,1997,38.5
Australia/South Pacific,Australia,,Canberra,6,7,1996,38.6
Australia/South Pacific,Australia,,Canberra,7,10,1998,38.6
Australia/South Pacific,Australia,,Canberra,7,13,1998,38.6
Australia/South Pacific,Australia,,Canberra,6,20,1999,38.6
Australia/South Pacific,Australia,,Canberra,8,18,1997,38.8
Australia/South Pacific,Australia,,Canberra,6,27,1998,38.8
Australia/South Pacific,Australia,,Canberra,7,28,1998,38.8
Australia/South Pacific,Australia,,Canberra,7,30,1995,38.9
Australia/South Pacific,Australia,,Canberra,6,22,1997,38.9
Australia/South Pacific,Australia,,Canberra,7,14,1998,39.1
Australia/South Pacific,Australia,,Canberra,8,24,1998,39.1
Australia/South Pacific,Australia,,Canberra,5,31,1996,39.2
Australia/South Pacific,Australia,,Canberra,6,20,1997,39.2
Australia/South Pacific,Australia,,Canberra,6,25,1998,39.2
Australia/South Pacific,Australia,,Canberra,6,6,1996,39.3
Australia/South Pacific,Australia,,Canberra,7,11,1996,39.3
Australia/South Pacific,Australia,,Canberra,7,30,1997,39.3
Australia/South Pacific,Australia,,Canberra,7,11,1997,39.4
Australia/South Pacific,Australia,,Canberra,8,10,1995,39.5
Australia/South Pacific,Australia,,Canberra,7,13,1997,39.5
Australia/South Pacific,Australia,,Sydney,9,5,1995,39.5
Australia/South Pacific,Australia,,Canberra,7,7,1995,39.6
Australia/South Pacific,Australia,,Canberra,5,16,1999,39.6
Australia/South Pacific,Australia,,Canberra,7,28,1999,39.6
Australia/South Pacific,Australia,,Canberra,8,13,1995,39.7
Australia/South Pacific,Australia,,Sydney,8,18,1996,39.7
Australia/South Pacific,Australia,,Canberra,7,25,1995,39.8
Australia/South Pacific,Australia,,Canberra,7,16,1997,39.8
Australia/South Pacific,Australia,,Canberra,8,26,1997,39.8
Australia/South Pacific,Australia,,Sydney,8,3,1997,39.8
Australia/South Pacific,Australia,,Canberra,8,8,1995,39.9
Australia/South Pacific,Australia,,Canberra,7,8,1996,39.9
Australia/South Pacific,Australia,,Canberra,5,30,1997,39.9
Australia/South Pacific,Australia,,Canberra,6,2,1997,39.9
Australia/South Pacific,Australia,,Canberra,7,4,1998,39.9
Australia/South Pacific,Australia,,Canberra,6,15,1999,39.9
Australia/South Pacific,Australia,,Canberra,8,11,1995,40
Australia/South Pacific,Australia,,Canberra,8,10,1997,40
Australia/South Pacific,Australia,,Canberra,7,19,1998,40
Australia/South Pacific,Australia,,Canberra,6,21,1996,40.1
Australia/South Pacific,Australia,,Canberra,6,7,1997,40.1
Australia/South Pacific,Australia,,Canberra,6,23,1997,40.1
Australia/South Pacific,Australia,,Canberra,8,27,1997,40.1
Australia/South Pacific,Australia,,Canberra,6,10,1998,40.1
Australia/South Pacific,Australia,,Canberra,8,1,1998,40.1
Australia/South Pacific,Australia,,Canberra,9,16,1998,40.1
Australia/South Pacific,Australia,,Canberra,9,6,1995,40.2
Australia/South Pacific,Australia,,Canberra,6,5,1996,40.2
Australia/South Pacific,Australia,,Canberra,7,2,1996,40.2
Australia/South Pacific,Australia,,Canberra,8,9,1996,40.2
Australia/South Pacific,Australia,,Canberra,5,9,1998,40.2
Australia/South Pacific,Australia,,Canberra,7,23,1999,40.2
Australia/South Pacific,Australia,,Canberra,8,2,1999,40.2
Australia/South Pacific,Australia,,Canberra,6,19,1995,40.3
Australia/South Pacific,Australia,,Canberra,7,4,1997,40.3
Australia/South Pacific,Australia,,Canberra,9,5,1995,40.4
Australia/South Pacific,Australia,,Canberra,6,18,1997,40.4
Australia/South Pacific,Australia,,Sydney,7,12,1996,40.4
Australia/South Pacific,Australia,,Canberra,7,6,1995,40.5
Australia/South Pacific,Australia,,Canberra,7,27,1995,40.5
Australia/South Pacific,Australia,,Canberra,8,23,1996,40.5
