Region,Country,State,City,Month,Day,Year,AvgTemperature
Australia/South Pacific,Australia,,Canberra,7,1,2011,33.9
Australia/South Pacific,Australia,,Canberra,8,31,2012,34.1
Australia/South Pacific,Australia,,Canberra,8,7,2014,34.5
Australia/South Pacific,Australia,,Canberra,7,3,2012,34.8
Australia/South Pacific,Australia,,Canberra,8,3,2014,34.8
Australia/South Pacific,Australia,,Canberra,8,6,2014,35
Australia/South Pacific,Australia,,Canberra,7,14,2011,35.2
Australia/South Pacific,Australia,,Canberra,7,7,2012,35.2
Australia/South Pacific,Australia,,Canberra,8,2,2014,35.4
Australia/South Pacific,Australia,,Canberra,7,6,2012,35.5
Australia/South Pacific,Australia,,Canberra,7,8,2012,35.5
Australia/South Pacific,Australia,,Canberra,7,29,2011,35.9
Australia/South Pacific,Australia,,Canberra,6,8,2012,35.9
Australia/South Pacific,Australia,,Canberra,6,7,2012,36.2
Australia/South Pacific,Australia,,Canberra,7,3,2013,36.2
Australia/South Pacific,Australia,,Canberra,7,2,2012,36.3
Australia/South Pacific,Australia,,Canberra,6,21,2013,36.4
Australia/South Pacific,Australia,,Canberra,6,29,2010,36.5
Australia/South Pacific,Australia,,Canberra,7,3,2010,36.5
Australia/South Pacific,Australia,,Canberra,8,1,2014,36.5
Australia/South Pacific,Australia,,Canberra,8,5,2014,36.5
Australia/South Pacific,Australia,,Canberra,7,28,2011,36.7
Australia/South Pacific,Australia,,Canberra,7,8,2014,36.7
Australia/South Pacific,Australia,,Canberra,8,11,2014,36.7
Australia/South Pacific,Australia,,Canberra,6,27,2010,36.8
Australia/South Pacific,Australia,,Canberra,7,20,2010,36.8
Australia/South Pacific,Australia,,Canberra,5,14,2011,36.8
Australia/South Pacific,Australia,,Canberra,7,19,2012,36.8
Australia/South Pacific,Australia,,Canberra,6,12,2010,37
Australia/South Pacific,Australia,,Canberra,6,13,2010,37.1
Australia/South Pacific,Australia,,Canberra,7,4,2010,37.1
Australia/South Pacific,Australia,,Canberra,8,1,2012,37.2
Australia/South Pacific,Australia,,Canberra,5,26,2013,37.2
Australia/South Pacific,Australia,,Canberra,7,3,2014,37.2
Australia/South Pacific,Australia,,Canberra,7,20,2014,37.2
Australia/South Pacific,Australia,,Canberra,7,1,2010,37.3
Australia/South Pacific,Australia,,Canberra,6,24,2011,37.3
Australia/South Pacific,Australia,,Canberra,7,21,2010,37.4
