Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Russia,,Moscow,1,7,2017,-14.6
Europe,Finland,,Helsinki,1,7,2016,-13.2
Europe,Russia,,Moscow,1,6,2017,-13.2
Europe,Belarus,,Minsk,1,7,2017,-10
Europe,Russia,,Moscow,1,8,2017,-9.5
Europe,Finland,,Helsinki,1,6,2016,-8.1
Europe,Finland,,Helsinki,1,22,2019,-6.5
Europe,Finland,,Helsinki,1,8,2016,-6.2
Europe,Finland,,Helsinki,1,6,2017,-6.2
Europe,Finland,,Helsinki,1,22,2016,-4.6
Europe,Belarus,,Minsk,1,6,2017,-4.3
Europe,Belarus,,Minsk,1,8,2017,-4.1
Europe,Russia,,Moscow,1,7,2015,-4.1
Europe,Russia,,Moscow,2,7,2017,-3
Europe,Russia,,Moscow,1,9,2017,-2.6
Europe,Finland,,Helsinki,1,20,2016,-2.5
Europe,Finland,,Helsinki,1,5,2016,-2.2
Europe,Russia,,Moscow,1,6,2015,-2.1
Europe,Finland,,Helsinki,1,5,2017,-1.4
Europe,Latvia,,Riga,1,8,2016,-1.2
Europe,Finland,,Helsinki,2,27,2018,-0.8
Europe,Finland,,Helsinki,1,21,2019,-0.8
Europe,Finland,,Helsinki,1,21,2016,-0.7
Europe,Russia,,Moscow,1,5,2016,-0.7
Europe,Belarus,,Minsk,1,5,2016,-0.6
Europe,Finland,,Helsinki,1,27,2019,-0.5
Europe,Ukraine,,Kiev,1,3,2016,-0.2
Europe,Belarus,,Minsk,1,4,2016,0.2
Europe,Finland,,Helsinki,1,16,2016,0.2
Europe,Russia,,Moscow,2,26,2018,0.2
Europe,Finland,,Helsinki,2,22,2018,0.3
Europe,Belarus,,Minsk,1,3,2016,0.4
Europe,Russia,,Moscow,1,4,2016,0.6
Europe,Russia,,Moscow,1,11,2016,0.6
Europe,Russia,,Moscow,2,27,2018,0.8
Europe,Finland,,Helsinki,2,28,2018,0.9
Europe,Ukraine,,Kiev,1,7,2017,0.9
Europe,Latvia,,Riga,1,7,2016,1.6
Europe,Norway,,Oslo,1,14,2016,1.6
Europe,Norway,,Oslo,1,18,2016,1.7
Europe,Norway,,Oslo,1,21,2016,1.8
Europe,Ukraine,,Kiev,1,4,2016,1.8
Europe,Russia,,Moscow,1,24,2016,2
Europe,Russia,,Moscow,1,2,2016,2.6
Europe,Finland,,Helsinki,2,21,2018,2.7
Europe,Finland,,Helsinki,3,1,2018,3
Europe,Russia,,Moscow,2,8,2017,3.1
Europe,Norway,,Oslo,1,19,2016,3.2
Europe,Norway,,Oslo,1,17,2016,3.3
Europe,Russia,,Moscow,2,28,2018,3.3
Europe,Ukraine,,Kiev,1,2,2016,3.3
