Region,Country,State,City,Month,Day,Year,AvgTemperature
Middle East,Turkey,,Ankara,2,1,2012,3.4
Middle East,Turkey,,Ankara,2,2,2012,7.5
Middle East,Turkey,,Ankara,2,21,2012,11.6
Middle East,Turkey,,Ankara,1,19,2012,12.3
Middle East,Turkey,,Ankara,2,19,2012,12.4
Middle East,Turkey,,Ankara,2,20,2012,12.5
Middle East,Turkey,,Ankara,1,31,2012,12.8
Middle East,Turkey,,Ankara,2,12,2012,12.9
Middle East,Turkey,,Ankara,1,18,2012,13.4
Middle East,Turkey,,Ankara,1,26,2010,14.6
Middle East,Turkey,,Ankara,2,23,2012,15.3
Middle East,Turkey,,Ankara,2,22,2012,16.1
Middle East,Turkey,,Ankara,2,13,2012,16.5
Middle East,Turkey,,Ankara,2,5,2012,16.7
Middle East,Turkey,,Ankara,12,13,2013,16.9
Middle East,Turkey,,Ankara,12,24,2013,17.4
Middle East,Turkey,,Ankara,1,17,2012,17.5
Middle East,Turkey,,Ankara,1,20,2012,17.6
Middle East,Turkey,,Ankara,2,6,2012,17.6
Middle East,Turkey,,Ankara,12,23,2013,17.7
Middle East,Turkey,,Ankara,1,30,2012,18.2
Middle East,Turkey,,Ankara,1,27,2010,18.6
Middle East,Turkey,,Ankara,2,24,2012,18.8
Middle East,Turkey,,Ankara,12,14,2013,19
Middle East,Turkey,,Ankara,12,12,2013,19.4
Middle East,Turkey,,Ankara,12,22,2013,19.5
Middle East,Turkey,,Ankara,2,11,2012,19.6
Middle East,Turkey,,Ankara,2,2,2011,19.9
Middle East,Turkey,,Ankara,1,24,2012,20.1
Middle East,Turkey,,Ankara,1,16,2012,20.2
Middle East,Turkey,,Ankara,12,11,2013,20.2
Middle East,Turkey,,Ankara,12,21,2013,20.2
Middle East,Turkey,,Ankara,1,25,2010,20.3
Middle East,Turkey,,Ankara,3,11,2011,20.4
Middle East,Turkey,,Ankara,2,18,2012,21.7
Middle East,Turkey,,Ankara,2,4,2012,21.8
Middle East,Turkey,,Ankara,2,3,2011,22.2
Middle East,Turkey,,Ankara,2,3,2012,22.2
Middle East,Turkey,,Ankara,2,1,2011,22.7
Middle East,Turkey,,Ankara,2,29,2012,22.7
Middle East,Turkey,,Ankara,1,3,2012,22.8
Middle East,Turkey,,Ankara,1,5,2012,22.9
Middle East,Turkey,,Ankara,1,29,2012,22.9
Middle East,Turkey,,Ankara,1,21,2012,23
Middle East,Turkey,,Ankara,2,10,2012,23.2
Middle East,Turkey,,Ankara,1,4,2012,23.3
Middle East,Turkey,,Ankara,1,10,2013,23.9
Middle East,Turkey,,Ankara,1,31,2011,24
Middle East,Turkey,,Ankara,3,12,2011,24
Middle East,Turkey,,Ankara,1,9,2013,24
Middle East,Turkey,,Ankara,12,19,2013,24
Middle East,Turkey,,Ankara,12,20,2013,24
Middle East,Turkey,,Ankara,12,25,2013,24
Middle East,Turkey,,Ankara,11,27,2011,24.1
Middle East,Turkey,,Ankara,12,8,2013,24.1
Middle East,Turkey,,Ankara,2,4,2011,24.2
Middle East,Turkey,,Ankara,1,28,2010,24.3
Middle East,Turkey,,Ankara,2,9,2012,24.3
Middle East,Turkey,,Ankara,1,8,2013,24.5
Middle East,Turkey,,Ankara,2,4,2010,24.6
Middle East,Turkey,,Ankara,1,11,2013,24.6
Middle East,Turkey,,Ankara,1,23,2012,24.7
Middle East,Turkey,,Ankara,12,28,2011,24.9
Middle East,Turkey,,Ankara,12,9,2013,24.9
Middle East,Turkey,,Ankara,1,9,2014,25
Middle East,Turkey,,Ankara,3,4,2012,25.1
Middle East,Turkey,,Ankara,3,1,2012,25.2
Middle East,Turkey,,Ankara,3,16,2012,25.3
Middle East,Turkey,,Ankara,1,10,2014,25.3
Middle East,Turkey,,Istanbul,1,25,2010,25.4
Middle East,Turkey,,Ankara,11,26,2011,25.5
Middle East,Turkey,,Ankara,3,5,2012,25.5
Middle East,Turkey,,Ankara,1,2,2012,25.7
Middle East,Turkey,,Ankara,12,29,2011,25.8
Middle East,Turkey,,Ankara,1,5,2010,25.9
Middle East,Turkey,,Ankara,2,5,2011,25.9
Middle East,Turkey,,Ankara,3,8,2011,25.9
Middle East,Turkey,,Ankara,1,8,2014,26
Middle East,Turkey,,Ankara,12,3,2011,26.2
Middle East,Turkey,,Ankara,12,14,2012,26.2
Middle East,Turkey,,Ankara,12,4,2013,26.2
Middle East,Turkey,,Ankara,12,5,2013,26.2
Middle East,Turkey,,Ankara,12,18,2013,26.2
Middle East,Turkey,,Istanbul,1,31,2012,26.2
Middle East,Turkey,,Ankara,12,13,2010,26.4
Middle East,Turkey,,Ankara,12,2,2011,26.4
Middle East,Turkey,,Ankara,1,15,2012,26.4
Middle East,Turkey,,Ankara,3,2,2012,26.5
Middle East,Turkey,,Ankara,12,15,2012,26.5
Middle East,Turkey,,Ankara,3,13,2011,26.6
Middle East,Turkey,,Ankara,2,5,2010,26.7
Middle East,Turkey,,Ankara,1,28,2012,26.8
Middle East,Turkey,,Ankara,2,16,2012,26.8
Middle East,Turkey,,Ankara,12,7,2013,26.8
Middle East,Turkey,,Ankara,2,14,2012,26.9
Middle East,Turkey,,Ankara,3,11,2012,26.9
Middle East,Turkey,,Ankara,11,25,2011,27
Middle East,Turkey,,Ankara,1,24,2010,27.1
Middle East,Turkey,,Ankara,2,6,2010,27.2
Middle East,Turkey,,Ankara,11,30,2011,27.2
Middle East,Turkey,,Ankara,1,28,2011,27.3
Middle East,Turkey,,Ankara,3,10,2011,27.3
Middle East,Turkey,,Ankara,12,27,2011,27.3
Middle East,Turkey,,Ankara,12,6,2013,27.3
Middle East,Turkey,,Ankara,12,27,2013,27.3
